PR ID,PR number,Opened by,Assignee,Assignees
2374747407,130599,tallclair,vinaykul,"['vinaykul', 'esotsal']"
2374352265,130596,serathius,wojtek-t,['wojtek-t']
2374305172,130595,tkashem,dgrisonnet,"['stlaz', 'dgrisonnet']"
2373810668,130591,fmuyassarov,soltysh,['soltysh']
2373547948,130589,serathius,wojtek-t,['wojtek-t']
2373517669,130588,serathius,wojtek-t,['wojtek-t']
2373497608,130587,serathius,wojtek-t,['wojtek-t']
2373007116,130582,tenzen-y,mimowo,['mimowo']
2372813380,130580,pohly,stlaz,['stlaz']
2372286316,130578,Jpsassine,Unknown,['Unknown']
2372075588,130577,KevinTMtz,ndixita,"['ndixita', 'thockin', 'tallclair']"
2371956377,130576,tallclair,ndixita,['ndixita']
2371845668,130575,Jefftree,jpbetz,"['jpbetz', 'sttts']"
2371843834,130574,natasha41575,tallclair,"['liggitt', 'tallclair']"
2371812767,130573,natasha41575,tallclair,"['liggitt', 'tallclair']"
2371804444,130572,liggitt,Unknown,['Unknown']
2371747152,130571,hakuna-matatah,dashpole,"['liggitt', 'dashpole']"
2371692028,130569,dims,liggitt,"['liggitt', 'thockin']"
2371609918,130567,liggitt,Unknown,['Unknown']
2371588656,130566,MrHohn,Jefftree,['Jefftree']
2371283387,130564,danwinship,thockin,"['adrianmoisey', 'thockin']"
2371270560,130563,bitoku,rphillips,['rphillips']
2371079405,130562,qiujian16,Unknown,['Unknown']
2371064686,130561,danwinship,aojea,['aojea']
2370964195,130560,stlaz,enj,['enj']
2370843022,130559,esotsal,ffromani,"['ffromani', 'tallclair']"
2370582425,130556,sreeram-venkitesh,mrunalp,"['mrunalp', 'thockin', 'haircommander']"
2369974970,130555,thockin,pohly,"['pohly', 'BenTheElder']"
2369769254,130553,Phaow,gnufied,"['gnufied', 'jsafrane', 'deads2k', 'carlory', 'sunnylovestiramisu']"
2369663198,130550,sanposhiho,ahg-g,"['ahg-g', 'dom4ha']"
2369386456,130549,jpbetz,deads2k,['deads2k']
2369099445,130546,Jefftree,dims,"['dims', 'MrHohn']"
2368981760,130545,serathius,wojtek-t,['wojtek-t']
